AI,Rrup,Mw,Vs30,zh,
0.030445379,66.32558736,5.7,243.66833,463,13
0.059529367,66.9729666,5.7,248.68715,464,13
0.020187962,71.08247547,5.7,127.1408,465,13
0.014503276,71.80369051,5.7,131.13963,466,13
0.010723247,78.07505962,5.7,245.74942,467,13
0.009084757,80.2228798,5.7,228.96497,468,13
0.01732413,76.7673188,5.7,275.56555,469,13
0.004876692,85.08887728,5.7,290.70941,470,13
0.030637855,80.25513394,5.7,185.37057,471,13
0.026054305,88.98122432,5.7,171.66423,472,13
0.00704309,96.97834058,5.7,166.97049,473,13
0.013889168,93.66598055,5.7,255.86218,474,13
0.011442646,111.8015642,5.7,144.11224,475,13
0.014258855,94.94107089,5.7,307.31921,476,13
0.016796087,70.38113392,5.7,215.21594,477,13
0.003509473,128.200932,5.7,209.85481,478,13
0.002634513,139.8902389,5.7,477.51245,479,13
0.004098193,125.9988404,5.7,394.61996,480,13
0.013761669,98.64159984,5.7,416.52783,481,13
0.014820178,80.38389961,5.7,278.27405,482,13
0.007796808,91.64049293,5.7,274.86993,483,13
0.008276017,104.4047284,5.7,228.0233,484,13
0.005752914,109.4363538,5.7,432.8886,485,13
0.013844403,98.92680132,5.7,274.5092,486,13
0.131163147,86.55063915,5.7,333.0297,487,13
0.04901521,73.87834297,5.7,265.5409,488,13
0.017591777,78.18165674,5.7,420.4355,489,13
0.015781795,82.87818958,5.7,307.42,490,13
0.019020733,69.05335286,5.7,522.9963,491,13
0.010045702,71.21081539,5.7,272.6518,492,13
0.084815141,64.17112162,5.7,203.2111,493,13
0.046735583,61.61151186,5.7,238.2027,494,13
0.125880812,65.67307907,5.7,246.7284,495,13
0.071068191,61.24129911,5.7,270.7708,496,13
0.037154797,62.43162347,5.7,218.1334,497,13
0.097280396,60.56484445,5.7,281.2124,498,13
0.069975744,63.12191233,5.7,258.5682,499,13
0.017813167,75.54818795,5.7,291.7127,500,13
0.016721622,83.30700196,5.7,136.088,501,13
0.015004107,91.65577674,5.7,119.6667,502,13
0.00936894,113.9978342,5.7,262.0394,503,13
0.005018791,94.31021137,5.7,382.2518,504,13
0.002950269,98.33355717,5.7,343.7977,505,13
0.007057085,103.4057114,5.7,138.1374,506,13
0.008376431,125.6246459,5.7,99.70285,507,13
0.027479268,69.04349209,5.7,89.19601,508,13
0.006910789,103.7631164,5.7,259.5523,509,13
0.001620636,92.50426494,5.7,242.8009,510,13
0.001659246,105.273369,5.7,821.5139,511,13
0.093885348,66.35312029,5.7,156.3224,512,13
0.003986617,79.37918689,5.7,325.5844,513,13
0.004601107,82.37106083,5.7,298.5533,514,13
0.002054252,137.6950978,5.7,399.9957,515,13
0.004539788,163.4491939,5.7,199.3158,516,13
0.007849539,109.8783842,5.7,353.3482,517,13
0.003032402,118.937164,5.7,432.5877,518,13
0.008166818,105.3805187,5.7,253.6669,519,13
0.003201082,100.9166428,5.7,478.8921,520,13
0.003874544,86.9678489,5.7,629.692,521,13
0.025764106,88.85003279,5.7,309.0803,522,13
0.055904944,102.6775906,5.7,256.9584,523,13
0.004709753,105.8809981,5.7,523.1513,524,13
0.003070506,83.24343405,5.7,386.0611,525,13
0.022340141,71.62084941,5.7,377.0819,526,13
0.02399765,76.21579493,5.7,363.2759,527,13
0.236502502,83.77422381,5.7,421.7628,528,13
0.006874474,91.66680151,5.7,321.4917,529,13
0.006179448,93.30989617,5.7,278.458,530,13
0.006538457,83.52503316,5.7,306.3208,531,13
0.01088061,74.7905842,5.7,293.7617,532,13
0.004598701,152.2159342,5.7,430.6437,533,13
0.003286446,149.8533023,5.3,243.39799,534,14
0.004432083,140.8257934,5.3,206.55794,535,14
0.002998179,103.6816504,5.3,336.31079,536,14
0.002626862,92.28390436,5.3,480.68826,537,14
0.003265546,131.3484327,5.3,248.68715,538,14
0.003328352,109.059405,5.3,245.74942,539,14
0.004126074,90.31762983,5.3,274.5092,540,14
0.005917279,105.0193754,5.3,333.0297,541,14
0.005730168,115.7452629,5.3,265.5409,542,14
0.003788028,98.40086473,5.3,420.4355,543,14
0.005340453,87.33578417,5.3,307.42,544,14
0.004260187,138.1454166,5.3,203.2111,545,14
0.002570865,128.4145876,5.3,238.2027,546,14
0.006588004,111.5266987,5.3,246.7284,547,14
0.003687503,120.808043,5.3,270.7708,548,14
0.003002752,114.2797605,5.3,258.5682,549,14
0.00870048,90.4709931,5.3,291.7127,550,14
0.004462731,166.3109086,5.3,256.9584,551,14
0.009396367,123.8695096,5.3,421.7628,552,14
0.003647388,134.7916276,5.7,243.39799,553,15
0.0058574,126.2003811,5.7,206.55794,554,15
0.003671016,117.2824099,5.7,248.68715,555,15
0.005210045,107.5581579,5.7,228.0233,556,15
0.005053695,82.60528936,5.7,432.8886,557,15
0.009955318,80.08948848,5.7,274.5092,558,15
0.011214497,93.26787126,5.7,333.0297,559,15
0.01117666,102.8487458,5.7,265.5409,560,15
